Timestamp:      Type:

402.191291: funcgraph_entry:        0.104 us   |                                next_resource.part.8();
402.191291: funcgraph_entry:        0.105 us   |                                next_resource.part.8();
402.191291: funcgraph_entry:        0.103 us   |                                next_resource.part.8();
402.191291: funcgraph_entry:        0.110 us   |                                next_resource.part.8();
402.191292: funcgraph_entry:        0.103 us   |                                next_resource.part.8();
402.191292: funcgraph_entry:        0.103 us   |                                next_resource.part.8();
402.191292: funcgraph_entry:        0.102 us   |                                next_resource.part.8();
402.191292: funcgraph_entry:        0.100 us   |                                next_resource.part.8();
402.191292: funcgraph_entry:        0.102 us   |                                next_resource.part.8();
402.191293: funcgraph_entry:        0.101 us   |                                next_resource.part.8();
402.191293: funcgraph_exit:       + 11.191 us  |                              }
402.191293: funcgraph_entry:        0.102 us   |                              pagerange_is_ram_callback();
402.191293: funcgraph_exit:       + 11.608 us  |                            }
402.191293: funcgraph_exit:       + 11.806 us  |                          }
402.191293: funcgraph_exit:       + 12.022 us  |                        }
402.191294: funcgraph_exit:       + 12.217 us  |                      }
402.191294: funcgraph_entry:        0.101 us   |                      pfn_modify_allowed();
402.191294: funcgraph_entry:                   |                      insert_pfn() {
402.191294: funcgraph_entry:                   |                        __get_locked_pte() {
402.191294: funcgraph_entry:                   |                          __pte_alloc() {
402.191294: funcgraph_entry:                   |                            pte_alloc_one() {
402.191294: funcgraph_entry:                   |                              alloc_pages_current() {
402.191294: funcgraph_entry:        0.103 us   |                                get_task_policy.part.35();
402.191295: funcgraph_entry:        0.103 us   |                                policy_nodemask();
402.191295: funcgraph_entry:        0.108 us   |                                policy_node();
402.191295: funcgraph_entry:                   |                                __alloc_pages_nodemask() {
402.191295: funcgraph_entry:                   |                                  _cond_resched() {
402.191295: funcgraph_entry:        0.104 us   |                                    rcu_all_qs();
402.191295: funcgraph_exit:         0.302 us   |                                  }
402.191295: funcgraph_entry:        0.103 us   |                                  should_fail_alloc_page();
402.191296: funcgraph_entry:                   |                                  get_page_from_freelist() {
402.191296: funcgraph_entry:        0.102 us   |                                    __inc_numa_state();
402.191296: funcgraph_entry:        0.104 us   |                                    __inc_numa_state();
402.191296: funcgraph_entry:                   |                                    prep_new_page() {
402.191296: funcgraph_entry:        0.107 us   |                                      kernel_poison_pages();
402.191296: funcgraph_entry:        0.108 us   |                                      page_poisoning_enabled();
402.191297: funcgraph_exit:         0.669 us   |                                    }
402.191297: funcgraph_exit:         1.324 us   |                                  }
402.191297: funcgraph_entry:                   |                                  __memcg_kmem_charge() {
