Timestamp:     Type:

139397.325914: funcgraph_entry:        0.133 us   |                                page_poisoning_enabled();
139397.325914: funcgraph_entry:        0.126 us   |                                page_poisoning_enabled();
139397.325915: funcgraph_exit:         1.009 us   |                              }
139397.325915: funcgraph_exit:         1.847 us   |                            }
139397.325915: funcgraph_exit:         2.824 us   |                          }
139397.325915: funcgraph_exit:         3.803 us   |                        }
139397.325915: funcgraph_exit:         4.048 us   |                      }
139397.325915: funcgraph_entry:                   |                      __page_cache_alloc() {
139397.325915: funcgraph_entry:                   |                        alloc_pages_current() {
139397.325916: funcgraph_entry:        0.120 us   |                          get_task_policy.part.0();
139397.325916: funcgraph_entry:        0.125 us   |                          policy_nodemask();
139397.325916: funcgraph_entry:        0.124 us   |                          policy_node();
139397.325916: funcgraph_entry:                   |                          __alloc_pages_nodemask() {
139397.325916: funcgraph_entry:                   |                            _cond_resched() {
139397.325916: funcgraph_entry:        0.124 us   |                              rcu_all_qs();
139397.325917: funcgraph_exit:         0.370 us   |                            }
139397.325917: funcgraph_entry:        0.122 us   |                            should_fail_alloc_page();
139397.325917: funcgraph_entry:                   |                            get_page_from_freelist() {
139397.325917: funcgraph_entry:        0.121 us   |                              __inc_numa_state();
139397.325917: funcgraph_entry:        0.123 us   |                              __inc_numa_state();
139397.325918: funcgraph_entry:                   |                              prep_new_page() {
139397.325918: funcgraph_entry:        0.125 us   |                                kernel_poison_pages();
139397.325918: funcgraph_entry:        0.214 us   |                                page_poisoning_enabled();
139397.325918: funcgraph_entry:        0.126 us   |                                page_poisoning_enabled();
139397.325919: funcgraph_exit:         1.169 us   |                              }
139397.325919: funcgraph_exit:         1.959 us   |                            }
139397.325919: funcgraph_exit:         2.948 us   |                          }
139397.325919: funcgraph_exit:         3.945 us   |                        }
139397.325919: funcgraph_exit:         4.185 us   |                      }
139397.325920: funcgraph_entry:                   |                      __page_cache_alloc() {
139397.325920: funcgraph_entry:                   |                        alloc_pages_current() {
139397.325920: funcgraph_entry:        0.122 us   |                          get_task_policy.part.0();
139397.325920: funcgraph_entry:        0.122 us   |                          policy_nodemask();
139397.325920: funcgraph_entry:        0.124 us   |                          policy_node();
139397.325921: funcgraph_entry:                   |                          __alloc_pages_nodemask() {
139397.325921: funcgraph_entry:                   |                            _cond_resched() {
139397.325921: funcgraph_entry:        0.125 us   |                              rcu_all_qs();
139397.325921: funcgraph_exit:         0.367 us   |                            }
139397.325921: funcgraph_entry:        0.124 us   |                            should_fail_alloc_page();
139397.325921: funcgraph_entry:                   |                            get_page_from_freelist() {
139397.325922: funcgraph_entry:        0.125 us   |                              __inc_numa_state();
139397.325922: funcgraph_entry:        0.124 us   |                              __inc_numa_state();
139397.325922: funcgraph_entry:                   |                              prep_new_page() {
139397.325922: funcgraph_entry:        0.123 us   |                                kernel_poison_pages();
139397.325922: funcgraph_entry:        0.124 us   |                                page_poisoning_enabled();
139397.325923: funcgraph_entry:        0.122 us   |                                page_poisoning_enabled();
139397.325923: funcgraph_exit:         1.016 us   |                              }
139397.325923: funcgraph_exit:         1.816 us   |                            }
139397.325923: funcgraph_exit:         2.796 us   |                          }
139397.325923: funcgraph_exit:         3.779 us   |                        }
139397.325924: funcgraph_exit:         4.021 us   |                      }
139397.325924: funcgraph_entry:                   |                      __page_cache_alloc() {
139397.325924: funcgraph_entry:                   |                        alloc_pages_current() {
139397.325924: funcgraph_entry:        0.123 us   |                          get_task_policy.part.0();
139397.325924: funcgraph_entry:        0.120 us   |                          policy_nodemask();
139397.325924: funcgraph_entry:        0.121 us   |                          policy_node();
139397.325925: funcgraph_entry:                   |                          __alloc_pages_nodemask() {
139397.325925: funcgraph_entry:                   |                            _cond_resched() {
139397.325925: funcgraph_entry:        0.128 us   |                              rcu_all_qs();
139397.325925: funcgraph_exit:         0.366 us   |                            }
139397.325925: funcgraph_entry:        0.122 us   |                            should_fail_alloc_page();
139397.325926: funcgraph_entry:                   |                            get_page_from_freelist() {
139397.325926: funcgraph_entry:        0.124 us   |                              __inc_numa_state();
139397.325926: funcgraph_entry:        0.126 us   |                              __inc_numa_state();
139397.325926: funcgraph_entry:                   |                              prep_new_page() {
139397.325926: funcgraph_entry:        0.122 us   |                                kernel_poison_pages();
139397.325927: funcgraph_entry:        0.124 us   |                                page_poisoning_enabled();
139397.325927: funcgraph_entry:        0.127 us   |                                page_poisoning_enabled();
139397.325927: funcgraph_exit:         1.016 us   |                              }
139397.325927: funcgraph_exit:         1.881 us   |                            }
139397.325928: funcgraph_exit:         2.862 us   |                          }
139397.325928: funcgraph_exit:         3.842 us   |                        }
139397.325928: funcgraph_exit:         4.079 us   |                      }
139397.325928: funcgraph_entry:                   |                      __page_cache_alloc() {
139397.325928: funcgraph_entry:                   |                        alloc_pages_current() {
139397.325928: funcgraph_entry:        0.132 us   |                          get_task_policy.part.0();
139397.325928: funcgraph_entry:        0.125 us   |                          policy_nodemask();
139397.325929: funcgraph_entry:        0.119 us   |                          policy_node();
139397.325929: funcgraph_entry:                   |                          __alloc_pages_nodemask() {
139397.325929: funcgraph_entry:                   |                            _cond_resched() {
139397.325929: funcgraph_entry:        0.123 us   |                              rcu_all_qs();
139397.325930: funcgraph_exit:         0.435 us   |                            }
139397.325930: funcgraph_entry:        0.172 us   |                            should_fail_alloc_page();
139397.325930: funcgraph_entry:                   |                            get_page_from_freelist() {
139397.325930: funcgraph_entry:        0.123 us   |                              __inc_numa_state();
139397.325931: funcgraph_entry:        0.123 us   |                              __inc_numa_state();
139397.325931: funcgraph_entry:                   |                              prep_new_page() {
139397.325931: funcgraph_entry:        0.125 us   |                                kernel_poison_pages();
139397.325931: funcgraph_entry:        0.124 us   |                                page_poisoning_enabled();
139397.325931: funcgraph_entry:        0.124 us   |                                page_poisoning_enabled();
139397.325932: funcgraph_exit:         0.995 us   |                              }
139397.325932: funcgraph_exit:         1.939 us   |                            }
139397.325932: funcgraph_exit:         3.209 us   |                          }
139397.325932: funcgraph_exit:         4.201 us   |                        }
139397.325932: funcgraph_exit:         4.442 us   |                      }
139397.325933: funcgraph_entry:                   |                      __page_cache_alloc() {
139397.325933: funcgraph_entry:                   |                        alloc_pages_current() {
139397.325933: funcgraph_entry:        0.123 us   |                          get_task_policy.part.0();
139397.325933: funcgraph_entry:        0.121 us   |                          policy_nodemask();
139397.325933: funcgraph_entry:        0.121 us   |                          policy_node();
139397.325934: funcgraph_entry:                   |                          __alloc_pages_nodemask() {
139397.325934: funcgraph_entry:                   |                            _cond_resched() {
139397.325934: funcgraph_entry:        0.126 us   |                              rcu_all_qs();
139397.325934: funcgraph_exit:         0.366 us   |                            }
139397.325934: funcgraph_entry:        0.122 us   |                            should_fail_alloc_page();
139397.325934: funcgraph_entry:                   |                            get_page_from_freelist() {
139397.325935: funcgraph_entry:        0.123 us   |                              __inc_numa_state();
139397.325935: funcgraph_entry:        0.126 us   |                              __inc_numa_state();
139397.325935: funcgraph_entry:                   |                              prep_new_page() {
139397.325935: funcgraph_entry:        0.127 us   |                                kernel_poison_pages();
139397.325935: funcgraph_entry:        0.123 us   |                                page_poisoning_enabled();
139397.325936: funcgraph_entry:        0.125 us   |                                page_poisoning_enabled();
139397.325936: funcgraph_exit:         1.022 us   |                              }
139397.325936: funcgraph_exit:         1.834 us   |                            }
139397.325936: funcgraph_exit:         2.822 us   |                          }
139397.325937: funcgraph_exit:         3.884 us   |                        }
139397.325937: funcgraph_exit:         4.124 us   |                      }
139397.325937: funcgraph_entry:                   |                      __page_cache_alloc() {
139397.325937: funcgraph_entry:                   |                        alloc_pages_current() {
139397.325937: funcgraph_entry:        0.123 us   |                          get_task_policy.part.0();
139397.325937: funcgraph_entry:        0.125 us   |                          policy_nodemask();
139397.325938: funcgraph_entry:        0.122 us   |                          policy_node();
139397.325938: funcgraph_entry:                   |                          __alloc_pages_nodemask() {
139397.325938: funcgraph_entry:                   |                            _cond_resched() {
139397.325938: funcgraph_entry:        0.125 us   |                              rcu_all_qs();
139397.325938: funcgraph_exit:         0.363 us   |                            }
139397.325938: funcgraph_entry:        0.123 us   |                            should_fail_alloc_page();
139397.325939: funcgraph_entry:                   |                            get_page_from_freelist() {
139397.325939: funcgraph_entry:        0.125 us   |                              __inc_numa_state();
139397.325939: funcgraph_entry:        0.125 us   |                              __inc_numa_state();
139397.325939: funcgraph_entry:                   |                              prep_new_page() {
139397.325939: funcgraph_entry:        0.128 us   |                                kernel_poison_pages();
139397.325940: funcgraph_entry:        0.128 us   |                                page_poisoning_enabled();
139397.325940: funcgraph_entry:        0.124 us   |                                page_poisoning_enabled();
139397.325940: funcgraph_exit:         1.024 us   |                              }
139397.325940: funcgraph_exit:         1.820 us   |                            }
139397.325941: funcgraph_exit:         2.814 us   |                          }
139397.325941: funcgraph_exit:         3.800 us   |                        }
139397.325941: funcgraph_exit:         4.041 us   |                      }
139397.325941: funcgraph_entry:                   |                      __page_cache_alloc() {
139397.325941: funcgraph_entry:                   |                        alloc_pages_current() {
139397.325941: funcgraph_entry:        0.124 us   |                          get_task_policy.part.0();
139397.325941: funcgraph_entry:        0.121 us   |                          policy_nodemask();
139397.325942: funcgraph_entry:        0.122 us   |                          policy_node();
139397.325942: funcgraph_entry:                   |                          __alloc_pages_nodemask() {
139397.325942: funcgraph_entry:                   |                            _cond_resched() {
139397.325942: funcgraph_entry:        0.122 us   |                              rcu_all_qs();
139397.325942: funcgraph_exit:         0.375 us   |                            }
139397.325943: funcgraph_entry:        0.122 us   |                            should_fail_alloc_page();
139397.325943: funcgraph_entry:                   |                            get_page_from_freelist() {
139397.325943: funcgraph_entry:        0.123 us   |                              __inc_numa_state();
