Timestamp:      Type:

139837.742127: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742127: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742127: funcgraph_entry:        0.132 us   |                        get_task_policy.part.0();
139837.742127: funcgraph_entry:        0.129 us   |                        policy_nodemask();
139837.742128: funcgraph_entry:        0.143 us   |                        policy_node();
139837.742128: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742128: funcgraph_entry:                   |                          _cond_resched() {
139837.742128: funcgraph_entry:        0.131 us   |                            rcu_all_qs();
139837.742128: funcgraph_exit:         0.391 us   |                          }
139837.742128: funcgraph_entry:        0.132 us   |                          should_fail_alloc_page();
139837.742129: funcgraph_entry:                   |                          get_page_from_freelist() {
139837.742129: funcgraph_entry:        0.135 us   |                            __inc_numa_state();
139837.742129: funcgraph_entry:        0.130 us   |                            __inc_numa_state();
139837.742129: funcgraph_entry:                   |                            prep_new_page() {
139837.742130: funcgraph_entry:        0.133 us   |                              kernel_poison_pages();
139837.742130: funcgraph_entry:        0.132 us   |                              page_poisoning_enabled();
139837.742130: funcgraph_entry:        0.132 us   |                              page_poisoning_enabled();
139837.742131: funcgraph_exit:         1.124 us   |                            }
139837.742131: funcgraph_exit:         1.994 us   |                          }
139837.742131: funcgraph_exit:         3.041 us   |                        }
139837.742131: funcgraph_exit:         4.095 us   |                      }
139837.742131: funcgraph_exit:         4.452 us   |                    }
139837.742131: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742131: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742132: funcgraph_entry:        0.129 us   |                        get_task_policy.part.0();
139837.742132: funcgraph_entry:        0.131 us   |                        policy_nodemask();
139837.742132: funcgraph_entry:        0.132 us   |                        policy_node();
139837.742132: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742132: funcgraph_entry:                   |                          _cond_resched() {
139837.742133: funcgraph_entry:        0.130 us   |                            rcu_all_qs();
139837.742133: funcgraph_exit:         0.383 us   |                          }
139837.742133: funcgraph_entry:        0.132 us   |                          should_fail_alloc_page();
139837.742133: funcgraph_entry:                   |                          get_page_from_freelist() {
139837.742133: funcgraph_entry:        0.130 us   |                            __inc_numa_state();
139837.742134: funcgraph_entry:        0.129 us   |                            __inc_numa_state();
139837.742134: funcgraph_entry:                   |                            prep_new_page() {
139837.742134: funcgraph_entry:        0.130 us   |                              kernel_poison_pages();
139837.742134: funcgraph_entry:        0.130 us   |                              page_poisoning_enabled();
139837.742135: funcgraph_entry:        0.130 us   |                              page_poisoning_enabled();
139837.742135: funcgraph_exit:         1.123 us   |                            }
139837.742135: funcgraph_exit:         1.976 us   |                          }
139837.742135: funcgraph_exit:         3.024 us   |                        }
139837.742136: funcgraph_exit:         4.122 us   |                      }
139837.742136: funcgraph_exit:         4.383 us   |                    }
139837.742136: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742136: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742136: funcgraph_entry:        0.131 us   |                        get_task_policy.part.0();
139837.742136: funcgraph_entry:        0.129 us   |                        policy_nodemask();
139837.742137: funcgraph_entry:        0.143 us   |                        policy_node();
139837.742137: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742137: funcgraph_entry:                   |                          _cond_resched() {
139837.742137: funcgraph_entry:        0.132 us   |                            rcu_all_qs();
139837.742137: funcgraph_exit:         0.390 us   |                          }
139837.742138: funcgraph_entry:        0.132 us   |                          should_fail_alloc_page();
139837.742138: funcgraph_entry:                   |                          get_page_from_freelist() {
139837.742138: funcgraph_entry:        0.134 us   |                            __inc_numa_state();
139837.742138: funcgraph_entry:        0.131 us   |                            __inc_numa_state();
139837.742138: funcgraph_entry:                   |                            prep_new_page() {
139837.742139: funcgraph_entry:        0.132 us   |                              kernel_poison_pages();
139837.742139: funcgraph_entry:        0.132 us   |                              page_poisoning_enabled();
139837.742139: funcgraph_entry:        0.132 us   |                              page_poisoning_enabled();
139837.742140: funcgraph_exit:         1.071 us   |                            }
139837.742140: funcgraph_exit:         1.918 us   |                          }
139837.742140: funcgraph_exit:         2.970 us   |                        }
139837.742140: funcgraph_exit:         4.021 us   |                      }
139837.742140: funcgraph_exit:         4.277 us   |                    }
139837.742140: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742140: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742141: funcgraph_entry:        0.133 us   |                        get_task_policy.part.0();
139837.742141: funcgraph_entry:        0.131 us   |                        policy_nodemask();
139837.742141: funcgraph_entry:        0.134 us   |                        policy_node();
139837.742141: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742141: funcgraph_entry:                   |                          _cond_resched() {
139837.742142: funcgraph_entry:        0.129 us   |                            rcu_all_qs();
139837.742142: funcgraph_exit:         0.409 us   |                          }
139837.742142: funcgraph_entry:        0.129 us   |                          should_fail_alloc_page();
139837.742142: funcgraph_entry:                   |                          get_page_from_freelist() {
139837.742142: funcgraph_entry:        0.137 us   |                            __inc_numa_state();
139837.742143: funcgraph_entry:        0.142 us   |                            __inc_numa_state();
139837.742143: funcgraph_entry:                   |                            prep_new_page() {
139837.742143: funcgraph_entry:        0.130 us   |                              kernel_poison_pages();
139837.742143: funcgraph_entry:        0.132 us   |                              page_poisoning_enabled();
139837.742144: funcgraph_entry:        0.130 us   |                              page_poisoning_enabled();
139837.742144: funcgraph_exit:         1.119 us   |                            }
139837.742144: funcgraph_exit:         1.984 us   |                          }
139837.742144: funcgraph_exit:         3.049 us   |                        }
139837.742144: funcgraph_exit:         4.093 us   |                      }
139837.742145: funcgraph_exit:         4.350 us   |                    }
139837.742145: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742145: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742145: funcgraph_entry:        0.170 us   |                        get_task_policy.part.0();
139837.742145: funcgraph_entry:        0.134 us   |                        policy_nodemask();
139837.742146: funcgraph_entry:        0.131 us   |                        policy_node();
139837.742146: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742146: funcgraph_entry:                   |                          _cond_resched() {
139837.742146: funcgraph_entry:        0.146 us   |                            rcu_all_qs();
139837.742146: funcgraph_exit:         0.403 us   |                          }
139837.742147: funcgraph_entry:        0.132 us   |                          should_fail_alloc_page();
139837.742147: funcgraph_entry:                   |                          get_page_from_freelist() {
139837.742147: funcgraph_entry:        0.224 us   |                            __inc_numa_state();
139837.742147: funcgraph_entry:        0.130 us   |                            __inc_numa_state();
139837.742148: funcgraph_entry:                   |                            prep_new_page() {
139837.742148: funcgraph_entry:        0.131 us   |                              kernel_poison_pages();
139837.742148: funcgraph_entry:        0.132 us   |                              page_poisoning_enabled();
139837.742148: funcgraph_entry:        0.130 us   |                              page_poisoning_enabled();
139837.742149: funcgraph_exit:         1.030 us   |                            }
139837.742149: funcgraph_exit:         2.022 us   |                          }
139837.742149: funcgraph_exit:         3.086 us   |                        }
139837.742149: funcgraph_exit:         4.322 us   |                      }
139837.742150: funcgraph_exit:         4.827 us   |                    }
139837.742150: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742150: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742150: funcgraph_entry:        0.132 us   |                        get_task_policy.part.0();
139837.742150: funcgraph_entry:        0.131 us   |                        policy_nodemask();
139837.742151: funcgraph_entry:        0.130 us   |                        policy_node();
139837.742151: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742151: funcgraph_entry:                   |                          _cond_resched() {
139837.742151: funcgraph_entry:        0.131 us   |                            rcu_all_qs();
139837.742151: funcgraph_exit:         0.382 us   |                          }
139837.742151: funcgraph_entry:        0.129 us   |                          should_fail_alloc_page();
139837.742152: funcgraph_entry:                   |                          get_page_from_freelist() {
139837.742152: funcgraph_entry:        0.129 us   |                            __inc_numa_state();
139837.742152: funcgraph_entry:        0.127 us   |                            __inc_numa_state();
139837.742152: funcgraph_entry:                   |                            prep_new_page() {
139837.742153: funcgraph_entry:        0.130 us   |                              kernel_poison_pages();
139837.742153: funcgraph_entry:        0.128 us   |                              page_poisoning_enabled();
139837.742153: funcgraph_entry:        0.130 us   |                              page_poisoning_enabled();
139837.742154: funcgraph_exit:         1.134 us   |                            }
139837.742154: funcgraph_exit:         1.963 us   |                          }
139837.742154: funcgraph_exit:         3.000 us   |                        }
139837.742154: funcgraph_exit:         4.045 us   |                      }
139837.742154: funcgraph_exit:         4.302 us   |                    }
139837.742154: funcgraph_entry:                   |                    __page_cache_alloc() {
139837.742154: funcgraph_entry:                   |                      alloc_pages_current() {
139837.742154: funcgraph_entry:        0.132 us   |                        get_task_policy.part.0();
139837.742155: funcgraph_entry:        0.131 us   |                        policy_nodemask();
139837.742155: funcgraph_entry:        0.131 us   |                        policy_node();
139837.742155: funcgraph_entry:                   |                        __alloc_pages_nodemask() {
139837.742155: funcgraph_entry:                   |                          _cond_resched() {
139837.742156: funcgraph_entry:        0.130 us   |                            rcu_all_qs();
139837.742156: funcgraph_exit:         0.384 us   |                          }
139837.742156: funcgraph_entry:        0.133 us   |                          should_fail_alloc_page();
139837.742156: funcgraph_entry:                   |                          get_page_from_freelist() {
139837.742156: funcgraph_entry:        0.130 us   |                            __inc_numa_state();
139837.742157: funcgraph_entry:        0.130 us   |                            __inc_numa_state();
139837.742157: funcgraph_entry:                   |                            prep_new_page() {
139837.742157: funcgraph_entry:        0.130 us   |                              kernel_poison_pages();
139837.742157: funcgraph_entry:        0.132 us   |                              page_poisoning_enabled();
139837.742158: funcgraph_entry:        0.131 us   |                              page_poisoning_enabled();
